snr,realization,L_true,epsilon_true,MEWT_true,L_retrieved,epsilon_retrieved,MEWT_retrieved
600.0,3,0.05,0.4,0.02,0.05106701667911971,0.39553774826067706,0.02019893278764945
600.0,3,0.075,0.4,0.03,0.07658914302373748,0.3978742167986638,0.030472845295850398
600.0,3,0.1,0.4,0.04,0.11958419541512989,0.39311618998566855,0.047010483284097515
600.0,3,0.025,0.5,0.0125,0.022558295714220425,0.5114674218559035,0.011537833350415399
600.0,3,0.05,0.5,0.025,0.04891869185492648,0.4952895675037811,0.024228917731677273
600.0,3,0.075,0.5,0.0375,0.08711326319516943,0.48145205777084055,0.04194085982444715
600.0,3,0.1,0.5,0.05,0.1135868204868857,0.5031471643412323,0.057150886634513134
600.0,3,0.125,0.5,0.0625,0.14414277962622396,0.4962466459801041,0.07153037093176293
600.0,3,0.15,0.5,0.075,0.15752255025689363,0.5161079578878267,0.08129864173436792
600.0,3,0.175,0.5,0.0875,0.19761788479472941,0.4961275303910775,0.09804367314431757
600.0,3,0.2,0.5,0.1,0.1999999999996349,0.5125863007490217,0.10251726014961718
600.0,3,0.025,0.6,0.015,0.026390280581629868,0.6047627412026044,0.01595985842565234
600.0,3,0.05,0.6,0.03,0.04893491269860299,0.6132338217924354,0.03000854353324349
600.0,3,0.075,0.6,0.045,0.0785714323697957,0.5898107950825966,0.04634227899680767
600.0,3,0.1,0.6,0.06,0.10767518091406575,0.6051895748202538,0.06516389695607736
600.0,3,0.125,0.6,0.075,0.1304221921004769,0.6015305074500774,0.07845292739695134
600.0,3,0.15,0.6,0.09,0.16266437256289532,0.6090095873184415,0.09906416240594208
600.0,3,0.175,0.6,0.105,0.18432730294664723,0.6155702782504402,0.11346640916402082
600.0,3,0.2,0.6,0.12,0.19999999999999998,0.6229192040440453,0.12458384080880905
600.0,3,0.025,0.7,0.0174999999999999,0.024429343427342334,0.6917199687385509,0.016898264671864564
600.0,3,0.05,0.7,0.0349999999999999,0.0488426708989023,0.7041509852197858,0.034392614834227814
600.0,3,0.075,0.7,0.0525,0.07786053920168415,0.6927113511173751,0.05393487930912598
600.0,3,0.1,0.7,0.0699999999999999,0.10586066023868662,0.7015123469480922,0.07426256021351564
